Kategori,Nama Produk,Harga,Komisi,Link Affiliate
🏠 Dekorasi,TERLARIS Hiasan Dinding Walldecor minimalis model keladi tan,"150,0RB",Rp30.000,https://s.shopee.co.id/5AnilbHDW5?utm_source=griyadalaman&utm_medium=social&utm_campaign=shopee_affiliate_2026&utm_content=D41D8C
🏠 Dekorasi,COD TERLARIS HIASAN DINDING IMPORT 1SET ISI 2PCS WALL DECOR/,"120,0RB",Rp24.000,https://s.shopee.co.id/9zsyWRQuLt?utm_source=griyadalaman&utm_medium=social&utm_campaign=shopee_affiliate_2026&utm_content=D41D8C
🏠 Dekorasi,Alsolo Tikar Karpet ruang Tamu Uk 210 x 160cm/Karpet Lantai ,"179,8RB",Rp23.377,https://s.shopee.co.id/4VY1yM7Isu?utm_source=griyadalaman&utm_medium=social&utm_campaign=shopee_affiliate_2026&utm_content=D41D8C
🏷️ Stiker & Label,"NIIMBOT B21Pro B1 Pencetak Label Termal, Printer Label Porta","495,0RB",Rp64.350,https://s.shopee.co.id/qejbuDeBr?utm_source=griyadalaman&utm_medium=social&utm_campaign=shopee_affiliate_2026&utm_content=D41D8C
🏷️ Stiker & Label,"NIIMBOT D101 Label Printer dengan, Mesin Pembuat Label Pinta","156,6RB",Rp20.358,https://s.shopee.co.id/4VY1ycGij4?utm_source=griyadalaman&utm_medium=social&utm_campaign=shopee_affiliate_2026&utm_content=D41D8C
🏷️ Stiker & Label,"NIIMBOT B1 Printer Label, Pembuat Label Portabel Bluetooth l","156,6RB",Rp20.358,https://s.shopee.co.id/900RKszabO?utm_source=griyadalaman&utm_medium=social&utm_campaign=shopee_affiliate_2026&utm_content=D41D8C
🏷️ Stiker & Label,Waffle Mini Mesin Pembuat/ Cetakan Pancake Anti Lengket Elec,"78,0RB",Rp7.799,https://s.shopee.co.id/7poTwfy9Ys?utm_source=griyadalaman&utm_medium=social&utm_campaign=shopee_affiliate_2026&utm_content=D41D8C
🏷️ Stiker & Label,dinding dapur stiker bahan alumunium foil 6 meter X 60 cm mo,"52,0RB",Rp7.280,https://s.shopee.co.id/6Kzg9kCm89?utm_source=griyadalaman&utm_medium=social&utm_campaign=shopee_affiliate_2026&utm_content=D41D8C
💧 Tumbler,BELI 1 GRATIS 1-Paket Couple Botol Minum Aesthetic Tumbler 4,"145,0RB",Rp10.150,https://s.shopee.co.id/70FMwvcKRX?utm_source=griyadalaman&utm_medium=social&utm_campaign=shopee_affiliate_2026&utm_content=D41D8C
💧 Tumbler,LITTLE O Tumbler STARBUCKS Tumbler Stainley Tumbler Stainles,"79,3RB",Rp9.510,https://s.shopee.co.id/4frSAf6fWs?utm_source=griyadalaman&utm_medium=social&utm_campaign=shopee_affiliate_2026&utm_content=D41D8C
💧 Tumbler,Sidagar Tumbler Thermos SUS316 Stainless Portable Bottle Bot,"68,3RB",Rp7.513,https://s.shopee.co.id/6pvwkccxnV?utm_source=griyadalaman&utm_medium=social&utm_campaign=shopee_affiliate_2026&utm_content=D41D8C
💧 Tumbler,"Tumbler Change/Termos Change 600ml – Stylish, Ada Filter & G","69,0RB",Rp6.900,https://s.shopee.co.id/6fcWYMBVTC?utm_source=griyadalaman&utm_medium=social&utm_campaign=shopee_affiliate_2026&utm_content=D41D8C
💧 Tumbler,[RAMADAN SALE] Tifale Ciele Tumblr Botol Minum Anak 680 Ml T,"87,9RB",Rp6.153,https://s.shopee.co.id/2qPnzKbWI8?utm_source=griyadalaman&utm_medium=social&utm_campaign=shopee_affiliate_2026&utm_content=D41D8C
📝 Alat Tulis,Crayon Set Anak Pensil Warna 150pc 208pc Set Krayon Spidol G,"55,5RB",Rp9.992,https://s.shopee.co.id/9pZYKONPuy?utm_source=griyadalaman&utm_medium=social&utm_campaign=shopee_affiliate_2026&utm_content=D41D8C
📝 Alat Tulis,[DOTDING] ‌Stiker Kartun Shiny 200 Lembar Motif Unik - Set D,"59,8RB",Rp7.774,https://s.shopee.co.id/3LM4aRmA7A?utm_source=griyadalaman&utm_medium=social&utm_campaign=shopee_affiliate_2026&utm_content=D41D8C
📝 Alat Tulis,[Upgrade Baru COD Ready Stock]Free Brush Ready Stock Momo&Co,"65,0RB",Rp6.500,https://s.shopee.co.id/8KkkXdT7xZ?utm_source=griyadalaman&utm_medium=social&utm_campaign=shopee_affiliate_2026&utm_content=D41D8C
📝 Alat Tulis,(READY&ORI) Kuromi Tempat pensil multifungsi  untuk anak per,"59,9RB",Rp5.990,https://s.shopee.co.id/2qPnzWo481?utm_source=griyadalaman&utm_medium=social&utm_campaign=shopee_affiliate_2026&utm_content=D41D8C
📝 Alat Tulis,12/24/36/48 Warna Colorful Crayon Bucket Krayon Silky Crayon,"66,0RB",Rp5.940,https://s.shopee.co.id/1Lb0CltmAa?utm_source=griyadalaman&utm_medium=social&utm_campaign=shopee_affiliate_2026&utm_content=D41D8C
📦 Penyimpanan,rak sangkar burung gold | rak sudut ruangan | rak sangkar bu,"185,0RB",Rp18.500,https://s.shopee.co.id/10y9nvKcyn?utm_source=griyadalaman&utm_medium=social&utm_campaign=shopee_affiliate_2026&utm_content=D41D8C
📦 Penyimpanan,HOhome Besar Lemari Pakaian Plastik Gantung Lemari Plastik S,"248,8RB",Rp17.416,https://s.shopee.co.id/3VfUmUpeY0?utm_source=griyadalaman&utm_medium=social&utm_campaign=shopee_affiliate_2026&utm_content=D41D8C
📦 Penyimpanan,RAK TEMPAT AQUA BOTOL MINUMAN GELAS DAN TEMPAT TISSU MINIMAL,"170,0RB",Rp17.000,https://s.shopee.co.id/1VuQOoxGbw?utm_source=griyadalaman&utm_medium=social&utm_campaign=shopee_affiliate_2026&utm_content=D41D8C
📦 Penyimpanan,dispenser kaca kristal  1.8 L dan 4.5 L (jumbo ),"149,0RB",Rp14.900,https://s.shopee.co.id/AACOixpGoX?utm_source=griyadalaman&utm_medium=social&utm_campaign=shopee_affiliate_2026&utm_content=D41D8C
📦 Penyimpanan,"[ MONO ] IORA DISPENSER 5,2 & 10 LT/ DISPENSER JUICE/ WADAH ","184,7RB",Rp14.778,https://s.shopee.co.id/AUpF7Zo09e?utm_source=griyadalaman&utm_medium=social&utm_campaign=shopee_affiliate_2026&utm_content=D41D8C
🛍️ Tas & Packaging,Termos Stainless Steel Double Layer Kapasitas BesarBotol Ter,"520,0RB",Rp260.000,https://s.shopee.co.id/8fNaw3FJSj?utm_source=griyadalaman&utm_medium=social&utm_campaign=shopee_affiliate_2026&utm_content=D41D8C
🛍️ Tas & Packaging,Pom Mini / Pertamini Digital 1Nozzle 110L MURAH Berkualitas ,"5,0JT",Rp247.500,https://s.shopee.co.id/7poTwZ3nd7?utm_source=griyadalaman&utm_medium=social&utm_campaign=shopee_affiliate_2026&utm_content=D41D8C
🛍️ Tas & Packaging,BOX PARCEL SILINDER // BOX BULAT //BOX MIKA BULAT // BOX KAD,"85,0RB",Rp17.000,https://s.shopee.co.id/7KsDLnWvzL?utm_source=griyadalaman&utm_medium=social&utm_campaign=shopee_affiliate_2026&utm_content=D41D8C
🛍️ Tas & Packaging,Paket Hampers Kado Pernikahan Parcel Cangkir Keramik Set 6 I,"119,0RB",Rp13.090,https://s.shopee.co.id/40blNSLesw?utm_source=griyadalaman&utm_medium=social&utm_campaign=shopee_affiliate_2026&utm_content=D41D8C
🛍️ Tas & Packaging,COBEK KERAMIK+ULEKAN COBEK SULTAN FREE PAKING BUBELWRAP & KA,"99,5RB",Rp8.955,https://s.shopee.co.id/4VY1yNJkqy?utm_source=griyadalaman&utm_medium=social&utm_campaign=shopee_affiliate_2026&utm_content=D41D8C
🛏️ Kamar,Sarung Bantal Anak Cushion Cover Kartun Motif Lucu Sarung Ba,"199,9RB",Rp19.990,https://s.shopee.co.id/2g6Nn1c9d7?utm_source=griyadalaman&utm_medium=social&utm_campaign=shopee_affiliate_2026&utm_content=D41D8C
🛏️ Kamar,JIM – Sprei Kasur Beludru Bulu Motif Timbul Import Premium L,"197,0RB",Rp13.790,https://s.shopee.co.id/8ARKL4Xt5N?utm_source=griyadalaman&utm_medium=social&utm_campaign=shopee_affiliate_2026&utm_content=D41D8C
🛏️ Kamar,Bed cover Set Sprei Valentine Pink Mix Baby Pink - Ukuran Le,"180,5RB",Rp12.635,https://s.shopee.co.id/7KsDLa8y6F?utm_source=griyadalaman&utm_medium=social&utm_campaign=shopee_affiliate_2026&utm_content=D41D8C
🛏️ Kamar,"SPREI WATERPROOF ANTI AIR/ UKURAN 120x200,160x200, 180x200 ,","135,0RB",Rp10.800,https://s.shopee.co.id/8ARKL37PaU?utm_source=griyadalaman&utm_medium=social&utm_campaign=shopee_affiliate_2026&utm_content=D41D8C
🛏️ Kamar,Kursi Lesehan Lipat Sandaran Bantal Jumbo 120KG Sofa Lantai ,"134,1RB",Rp9.384,https://s.shopee.co.id/gLJPI0RIj?utm_source=griyadalaman&utm_medium=social&utm_campaign=shopee_affiliate_2026&utm_content=D41D8C
🧹 Kebersihan,Jemuran Baju Tempel Dinding Jemuran Pakaian Lipat Stainless ,"197,8RB",Rp15.824,https://s.shopee.co.id/5fjzMV2rVF?utm_source=griyadalaman&utm_medium=social&utm_campaign=shopee_affiliate_2026&utm_content=D41D8C
🧹 Kebersihan,Glimzy Cermin Tempel Dinding Tebal Persegi Panjang Kaca Akri,"60,0RB",Rp15.000,https://s.shopee.co.id/4LEbm1mTrH?utm_source=griyadalaman&utm_medium=social&utm_campaign=shopee_affiliate_2026&utm_content=D41D8C
🧹 Kebersihan,SPREI RUMBAI PREMIUM UKURAN 180X200 & 160x200 / SEPRAI REMPE,"112,9RB",Rp11.290,https://s.shopee.co.id/qejbaznxk?utm_source=griyadalaman&utm_medium=social&utm_campaign=shopee_affiliate_2026&utm_content=D41D8C
🧹 Kebersihan,Unewell 2025 Humidifier Air Ultrasonic Diffuser Purifier Pel,"110,0RB",Rp10.999,https://s.shopee.co.id/2qPnzRW0lO?utm_source=griyadalaman&utm_medium=social&utm_campaign=shopee_affiliate_2026&utm_content=D41D8C
🧹 Kebersihan,UPUPIN Humidifier Air Ultrasonic Diffuser Purifier Pelembab ,"115,0RB",Rp8.050,https://s.shopee.co.id/1VuQOzb5TG?utm_source=griyadalaman&utm_medium=social&utm_campaign=shopee_affiliate_2026&utm_content=D41D8C
